Finca,Parcela,Fecha,NDWI
bodegas ochoa,(1)153T,2023-01-03,-0.13709424436092377
bodegas ochoa,(1)153T,2023-01-13,-0.12072770297527313
bodegas ochoa,(1)153T,2023-01-28,-0.13278581202030182
bodegas ochoa,(1)153T,2023-02-02,-0.10465618222951889
bodegas ochoa,(1)153T,2023-02-12,-0.10636328160762787
bodegas ochoa,(1)153T,2023-02-17,-0.10492846369743347
bodegas ochoa,(1)153T,2023-03-04,-0.0763290673494339
bodegas ochoa,(1)153T,2023-03-09,-0.08059276640415192
bodegas ochoa,(1)153T,2023-04-03,0.1019686609506607
bodegas ochoa,(1)153T,2023-04-18,0.0018606627127155662
bodegas ochoa,(1)153T,2023-05-03,0.002459664363414049
bodegas ochoa,(1)153T,2023-05-18,-0.029805205762386322
bodegas ochoa,(1)153T,2023-05-23,-0.020292021334171295
bodegas ochoa,(1)153T,2023-06-02,-0.06841858476400375
bodegas ochoa,(1)153T,2023-06-17,-0.04566491022706032
bodegas ochoa,(1)153T,2023-06-22,0.0203224066644907
bodegas ochoa,(1)153T,2023-06-27,-0.027912041172385216
bodegas ochoa,(1)153T,2023-07-07,0.015093229711055756
bodegas ochoa,(1)153T,2023-07-12,0.01221203152090311
bodegas ochoa,(1)153T,2023-07-17,0.07575363665819168
bodegas ochoa,(1)153T,2023-07-22,0.004863768350332975
bodegas ochoa,(1)153T,2023-07-27,-0.01627402752637863
bodegas ochoa,(1)153T,2023-08-01,0.003345599165186286
bodegas ochoa,(1)153T,2023-08-06,0.02993951179087162
bodegas ochoa,(1)153T,2023-08-11,-0.001494457246735692
bodegas ochoa,(1)153T,2023-08-16,-0.012096011079847813
bodegas ochoa,(1)153T,2023-08-21,-0.03871601074934006
bodegas ochoa,(1)153T,2023-08-26,-0.0012967789079993963
bodegas ochoa,(1)153T,2023-08-31,-0.03392598778009415
bodegas ochoa,(1)153T,2023-09-05,-0.007998264394700527
bodegas ochoa,(1)153T,2023-09-20,0.05437198653817177
bodegas ochoa,(1)153T,2023-09-25,0.08632492274045944
bodegas ochoa,(1)153T,2023-09-30,0.036284707486629486
bodegas ochoa,(1)153T,2023-10-05,-0.007088810671120882
bodegas ochoa,(1)153T,2023-10-10,-0.03476536646485329
bodegas ochoa,(1)153T,2023-10-15,-0.042536213994026184
bodegas ochoa,(1)153T,2023-11-14,0.04311724379658699
bodegas ochoa,(1)153T,2023-11-19,0.05991547554731369
bodegas ochoa,(1)153T,2023-11-24,0.07846783846616745
bodegas ochoa,(1)153T,2023-11-29,0.1024496927857399
bodegas ochoa,(1)153T,2023-12-19,0.08116379380226135
bodegas ochoa,(1)153T,2023-12-24,0.14141406118869781
bodegas ochoa,(1)153T,2024-01-23,0.07435233145952225
bodegas ochoa,(1)153T,2024-02-02,0.08112098276615143
bodegas ochoa,(1)153T,2024-02-07,0.1031896099448204
bodegas ochoa,(1)153T,2024-02-12,0.0826214849948883
bodegas ochoa,(1)153T,2024-02-17,0.06778910756111145
bodegas ochoa,(1)153T,2024-03-28,0.16131220757961273
bodegas ochoa,(1)153T,2024-04-12,0.17516127228736877
bodegas ochoa,(1)153T,2024-04-22,0.1438712179660797
bodegas ochoa,(1)153T,2024-05-02,0.13417448103427887
bodegas ochoa,(1)153T,2024-06-01,0.07337862253189087
bodegas ochoa,(1)153T,2024-06-06,0.037199728190898895
bodegas ochoa,(1)153T,2024-06-16,-0.01708056777715683
bodegas ochoa,(1)153T,2024-06-26,-0.03336530923843384
bodegas ochoa,(1)153T,2024-07-01,-0.0442594438791275
bodegas ochoa,(1)153T,2024-07-11,-0.0972009226679802
bodegas ochoa,(1)153T,2024-07-16,-0.06966859847307205
bodegas ochoa,(1)153T,2024-07-26,-0.0870218276977539
bodegas ochoa,(1)153T,2024-07-31,-0.07848888635635376
bodegas ochoa,(1)153T,2024-08-05,-0.08322026580572128
bodegas ochoa,(1)153T,2024-08-10,-0.08070558309555054
bodegas ochoa,(1)153T,2024-08-15,-0.09415902197360992
bodegas ochoa,(1)153T,2024-08-20,-0.04779189079999924
bodegas ochoa,(1)153T,2024-09-09,0.005784113425761461
bodegas ochoa,(1)153T,2024-09-14,0.04594258591532707
bodegas ochoa,(1)153T,2024-09-19,0.05399824678897858
bodegas ochoa,(1)153T,2024-09-24,0.09516239166259766
bodegas ochoa,(1)153T,2024-09-29,0.033199768513441086
bodegas ochoa,(1)153T,2024-10-04,0.04190809279680252
bodegas ochoa,(1)153T,2024-10-24,0.07707180827856064
bodegas ochoa,(1)153T,2024-11-13,0.21308889985084534
bodegas ochoa,(1)153T,2024-11-23,0.13586337864398956
bodegas ochoa,(1)153T,2024-12-03,0.1503152847290039
bodegas ochoa,(1)153T,2024-12-18,0.10758300870656967
bodegas ochoa,(1)153T,2024-12-23,0.15342316031455994
bodegas ochoa,(1)153T,2025-01-12,0.08815288543701172
bodegas ochoa,(1)153T,2025-01-17,0.0590350404381752
bodegas ochoa,(1)153T,2025-02-01,0.2159145325422287
bodegas ochoa,(1)153T,2025-02-06,0.06683782488107681
bodegas ochoa,(1)153T,2025-03-30,0.10453211516141891
bodegas ochoa,(1)153T,2025-04-07,0.12633679807186127
bodegas ochoa,(1)153T,2025-04-09,0.13187769055366516
